"","KOPT-K1.DMSO.1","KOPT-K1.DMSO.2","KOPT-K1.DMSO.3","HPB-ALL.DMSO.1","HPB-ALL.DMSO.2","HPB-ALL.DMSO.3","WT.COLD.1","WT.COLD.2","WT.COLD.3","HPB-ALL.SAHM1.1","HPB-ALL.SAHM1.2","HPB-ALL.SAHM1.3"
"RBM14",7.33306264050699,7.54613944633013,7.38332469519772,5.74792608837875,5.87062025138498,5.63296763440618,6.91419574833489,5.93631624659412,6.28011697614396,5.61049814024503,5.36073845582458,5.48332916273648
"DDX17",9.52937309828662,9.69558440037602,9.61493858038637,8.87301208035687,7.24944761402956,7.48132649210171,7.87427543876817,8.57392612613469,9.01040331759205,9.78551130698931,9.7336841292821,9.7649356461338
"CEBPG",8.80575365815239,8.66042141907234,8.63281805565095,8.50603362513711,8.2085311924168,8.37260020786093,7.5782994291496,7.80113273461538,8.00322568406588,8.9253111046859,8.89475800949305,8.92281038227296
"TXNIP",8.86847181261327,8.95795929399418,8.99782699573204,8.03955677459415,7.35990651710825,7.38465803381623,8.39842485351078,8.15964039387268,8.44961197056123,9.08815648195765,9.014137469848,9.2073333976072
"NFAT5",6.5540314121796,6.71619582624235,6.82278447235462,6.99612291795445,5.90403752580558,5.98090273294471,6.19725547043151,6.40485626046085,6.56960324055821,7.60905153640483,7.49451603526729,7.64228774585284
"TOB2",5.98466447948563,5.75597523288871,5.49496866586523,6.60754634805425,5.99734182291719,5.93516000063181,5.3711972061655,5.23116352685276,5.12599755872349,6.76791469850633,6.71302890840039,6.64195828173394
"ZNF271P",5.02135274297987,5.07374151150115,5.03444804621975,5.00744032599986,4.48532279098784,4.72217338961929,4.12297773940916,4.09258847204613,4.21987792194103,4.9005367814932,5.23832051504457,5.14895260135882
"WDR4",7.28727524905596,7.31861797454984,7.4273289665428,8.74534362592472,8.42279758032117,8.73702686289273,6.18488220034409,6.3712502064321,6.22628964322596,8.1208564362327,8.33827501179375,8.21547742899493
"CFTR",6.1178715216339,6.03840390075827,5.88709341106353,7.92799125324983,7.91493973340766,7.85886739726476,4.96041281381895,4.55671211549898,5.45920788771002,7.68429188473702,7.73938762847814,7.6544063321982
"ENTR1",5.10855913871933,5.25875832503995,5.30815622466625,5.57970610935247,5.27853733895529,4.94724530843201,4.5599677011736,4.00114274622126,4.51495948847765,5.86790633555037,5.54470138370098,5.61129004981354
"FERMT2",5.81865309830678,5.58620165557152,5.57424646597401,7.23145692695479,7.3105596505627,7.2807412852422,5.30945257182354,4.77171331498795,4.1022880629277,7.4753124063706,7.45972662574702,7.52840977198516
"KIF3A",5.22020215964177,5.43610015944526,5.64209131048264,6.76078064464848,5.86736776052789,6.17781431051503,4.83122706313693,4.70447587155036,5.02344273843769,6.84181953045805,6.82159610088771,6.5494239906398
"CHM",5.60295087518973,5.29493422056076,5.28821924664755,5.142746966011,4.18292635352544,4.42029752273396,4.51565969529909,4.58386422820216,4.70040638456744,5.139600308119,4.94992041632982,5.2733234615581
"XPOT",9.74811885408753,9.90192087298462,9.82541923614315,10.4346463108971,10.5136806122898,10.4571673823855,8.56302040936465,8.59133310453856,8.84204214910462,10.4300681143324,10.5556762677952,10.5560171225885
"KLF12",7.74782854284773,7.80653839223541,7.62898001774703,7.13717897517028,5.55701617064932,5.94392346015949,6.5895734226262,6.90517352049544,7.21605288770288,7.38904469270467,7.2021250402725,7.29887237464914
"MGAT4A",9.632536054893,9.65365470092028,9.81399833877769,7.9929503555052,7.19038184850686,7.45579916112836,8.99105252478966,8.92460444340035,9.4009645280523,8.42015677937644,8.34371572097214,8.45928195108785
"CBX3",7.44566256636223,7.48171227013146,7.58237453717234,7.46109188870126,6.66972163153148,6.92004649933439,6.40989376746333,6.55441833035453,6.68668341221135,7.57715354308802,7.21486894046654,7.64664399952092
"ESCO1",7.52182808063093,7.73872724383529,7.7658261217493,7.49547659411467,6.47717195886281,6.65860566960877,6.9299893664441,7.32020063058847,7.48578835037322,7.85509266961364,7.79294818040429,7.76422158162401
"MYSM1",7.8187009448112,7.70990628255236,7.66809639564242,8.3819260704943,7.93211679134539,8.30394506263922,6.98515422439743,7.00365166690128,7.16597973481151,8.66546380887356,8.62185409494627,8.64336580382624
"FBXO32",7.37381509229529,7.45508836402856,7.33980896307174,5.60779762923903,5.88030419827823,5.46676463050453,6.33962275697449,6.77288843696503,6.38985502410303,6.1753747930087,6.07374905321345,6.1217869848401
