"","KOPT-K1.DMSO.1","KOPT-K1.DMSO.2","KOPT-K1.DMSO.3","HPB-ALL.DMSO.1","HPB-ALL.DMSO.2","HPB-ALL.DMSO.3","WT.COLD.1","WT.COLD.2","WT.COLD.3","HPB-ALL.SAHM1.1","HPB-ALL.SAHM1.2","HPB-ALL.SAHM1.3"
"1558920_at",8.28715166357709,8.2856280956324,8.25843789705841,5.0900632166556,4.72472074027127,4.72889828258403,8.19011678144584,8.28301958127189,8.06321789772886,5.7698443874325,5.7985542108118,6.15840740943602
"1559870_at",4.27854295648098,4.68300497850189,4.62310184679014,3.82677673258177,4.16550757802978,3.80748736472093,5.13424327253779,5.21829064459631,4.91229104301544,4.02591261620276,3.87618240325277,3.56377384149228
"221847_at",11.5313659545473,11.4051690591632,11.376064442851,10.6668060926445,10.6420628152185,10.699783618256,11.504861977551,11.4771052980627,11.5109467556347,10.7058313264685,10.6052854027881,10.6271106737366
"235274_at",4.91409554433742,4.60704953592121,4.88767268869862,6.41053640203984,6.0276038431385,6.70128327005579,4.27381380934361,4.27492471057079,4.21825581535916,6.74480185828653,6.91284645867144,6.82959929430191
"242208_at",5.19677568303137,5.01039095349035,5.03899262012347,6.85325406885858,6.10837160992037,6.6531015274575,4.77128397069546,4.37929619796369,4.34989032268576,7.41472222297741,7.15222350870141,7.41832092362935
"229699_at",4.48852787290364,4.65284788259779,4.33086994226059,6.17452832025676,5.78776429673054,5.79979583437163,4.15562834687665,4.70261277007466,4.20335969703253,5.85410040959208,6.19363153019801,6.09991029019152
"237475_x_at",10.3274112915944,10.2711690212122,10.26986539271,8.6941675257394,8.86352344433236,8.62558374094027,10.7250063140606,10.8620194381688,10.9644597615211,9.18836875942116,9.17189231851712,9.06583428259524
"1560939_at",5.6221918728526,5.41747040460684,5.5458901501553,4.62928843565214,4.7535901994093,4.73128217842277,5.63534533201551,5.91646904203597,5.66137565478268,4.78650273072408,5.04659359836021,4.82000740077965
"1560503_a_at",3.71831855282076,3.48276246343729,3.18321993284148,4.46865992569759,4.33854167045877,4.29406784448254,3.22039478668006,3.16183636272818,3.18699743406244,4.63502478132103,4.58303556871825,4.68420249306675
"243871_at",3.73395893592031,3.65601246536577,3.74057541277112,4.51591318725162,3.69179779760819,4.38573383707567,3.63178220776308,3.38194246115661,3.23577872663766,5.47172533818151,5.45789106863928,5.2525983922439
"243043_at",3.93346199056917,3.43910657822428,4.03003529181327,4.60867064555604,4.68347632735655,5.3066667847293,3.77953926220168,3.68790115363679,3.90011461364106,4.53433677376617,4.80695968400065,4.62938363097755
"242364_x_at",5.39242812728093,5.24293770927975,5.28317383518646,4.36580415523441,4.51967178366956,4.44935169384079,5.47041428978676,5.3600956491798,5.43390459675819,4.61336887192505,4.8083038209966,4.50916521471552
"228675_at",5.31746318941802,4.91181250405181,5.27907324995586,3.83214644601816,3.64829355547222,3.76388501974296,4.58581273087101,4.58661484615761,4.25192878037155,3.30062528598109,3.77936535687493,3.66231643153405
"227444_at",3.15109782199702,3.15676031601093,2.99230718853366,4.81292897872286,4.53795634723239,4.64860496747841,3.27883530212735,3.10395785958894,3.09403134351529,4.72393863581897,4.74745484093968,5.11439277703913
"233075_at",3.84280793017741,3.6173979245369,3.53041738963468,3.03929773781606,3.25326958559874,3.44608787259964,5.25019679256614,4.67745692009972,5.04231597764542,2.85644045712329,3.08185729243651,3.2670967876308
"219442_at",8.01340110926599,8.35148884787395,8.06407524210404,6.37899519732704,5.95689841967952,6.42136115462221,7.63723403350206,7.87824265641446,7.80433121044116,6.46648703603858,6.33023772039264,6.60658266378396
"1558527_at",6.05696649784758,5.93486901517436,6.1034963553855,6.77291027376664,6.162102279189,6.13305275117986,5.43842945996993,5.45890573131489,5.60883600472092,7.07742153053336,6.7856800763825,7.09487215566108
"227234_at",7.19619199411291,7.15717616064924,7.10742526108771,7.7827249652376,7.8936297694157,7.77456960844126,6.74567781790378,6.70034955373656,6.8107153790238,7.71629417634107,7.79339388725935,7.84565725375521
"202455_at",4.65570843353087,4.88857810985542,5.23773506339404,5.60398137567537,5.72549111619403,5.87857504533306,5.46577663522325,5.3148190243083,4.92645564678224,5.69519765314964,5.86432722512637,6.07822887063957
"222394_at",7.12031094748737,6.86040443436119,6.75611780021576,8.20852315826769,8.34437771212473,8.17979605810394,6.84500040126517,6.72436083764095,6.63935041360989,8.24081704135995,8.28448003814384,8.15344792914044
"216051_x_at",6.76974579466185,6.78033838422615,6.86189970613707,5.79798503350364,6.39083314029299,5.85039276767553,7.91460035476234,8.10240784672582,8.13461109958659,5.71186275245919,6.14756148055699,5.9643407529022
"228066_at",4.81175579520208,4.5092773109803,4.45238141653456,6.65335571514631,6.97821084178489,6.74971485224459,5.03101701752135,4.74463041496214,4.38416636572397,5.77402352437969,6.44865692997562,6.39850549824188
"1553096_s_at",7.43203118014145,7.72568694693987,7.57794628583122,6.73615471293609,6.91111175283465,6.77065476077446,7.4981727987763,7.41797318909512,7.59631303738475,6.4309307993152,6.53280931235386,6.63098142553941
"235060_at",8.27732524307802,7.96370786616029,8.24478967336538,8.86158104409751,8.67994658499043,8.80195940400933,8.02748977408911,8.26682441522619,8.01109912841831,8.94132000113255,8.86354672010095,8.64164060127387
"219889_at",6.03944875126093,6.12642916082889,5.98644379353721,7.00200926908795,6.95387853027334,7.18362972814166,5.58014691087869,5.66929868930786,5.43836620447949,6.93728153238759,7.12470371334712,7.16403397885774
"241947_at",4.38793210058509,4.16388157765812,4.53229870210209,3.48871517162657,3.78947102932995,3.5405611472066,4.4043837703889,4.59983518167514,4.37132033023435,3.50903469379303,3.43289635976569,3.62512670731339
"221544_s_at",6.19983595701316,6.32154978361911,6.33117125578433,5.68562078418575,5.33021242396833,5.38349268349593,6.16855973505954,6.0352834081303,5.92333679366567,5.27529613992487,5.14558625867873,5.42933472609128
"235736_at",4.27791124761391,4.08748049079822,4.21419460827412,5.98049551363579,5.48062096744323,5.86460670163934,3.94580777858005,4.38228882076805,4.4182957434348,5.27511502180476,5.08652562931102,5.3140110217803
